Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smax,Smin,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,
1,17.00,20.20,,,,,,,3.10,8.50,0.40,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.10,15.00,,,,,0.00,5.00,0.00,1.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,3.20,12.40,,,,,,,,,,,,,,,,,,,
2,17.10,21.40,,,,,,,2.50,9.00,0.35,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,14.80,,,,,0.50,4.80,0.00,0.70,,,0.00,0.00,0.00,0.00,,,0.00,0.00,4.70,10.60,,,,,,,,,,,,,,,,,,,
3,17.20,21.00,,,,,,,1.80,8.00,0.12,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,14.50,,,,,0.50,4.80,0.00,0.50,,,0.00,0.00,0.00,0.00,,,0.00,0.00,3.00,9.3,,,,,,,,,,,,,,,,,,,
4,16.50,20.80,,,,,,,1.90,8.40,0.10,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,14.80,,,,,0.10,4.70,0.00,0.40,,,0.00,0.00,0.00,0.00,,,0.00,0.00,2.00,9.00,,,,,,,,,,,,,,,,,,,
5,17.00,20.90,,,,,,,2.00,6.10,0.10,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,14.60,,,,,0.30,4.80,0.00,0.50,,,0.00,0.00,0.00,0.00,,,0.00,0.00,2.80,9.30,,,,,,,,,,,,,,,,,,,
6,17.10,20.90,,,,,,,1.80,6.00,0.12,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,14.20,,,,,0.80,6.80,0.00,2.40,,,0.00,1.70,0.00,0.50,,,0.00,0.00,2.30,11.30,,,,,,,,,,,,,,,,,,,
7,15.00,19.50,,,,,,,3.50,9.60,0.10,1.13,0.00,0.00,0.00,0.20,0.00,0.40,0.10,1.20,6.00,14.40,,,,,2.00,8.60,0.90,3.30,,,0.90,3.40,0.30,4.20,,,0.00,1.11,1.20,13.40,,,,,,,,,,,,,,,,,,,
8,15.10,19.50,,,,,,,4.10,10.20,0.23,5.27,0.00,0.00,0.00,0.70,0.00,1.00,0.00,1.20,6.60,15.90,,,,,2.60,9.00,1.70,4.20,,,2.00,3.90,0.10,4.00,,,0.00,1.03,2.40,14.90,,,,,0.00,0.23,0.00,0.00,,,,,,,,,,,
9,15.00,19.70,,,,,,,4.80,10.20,2.20,5.93,0.00,0.60,0.20,0.80,0.40,0.80,0.00,1.20,7.10,16.20,,,,,1.00,9.00,2.80,4.20,,,2.90,3.90,0.00,4.10,,,0.00,1.03,2.80,16.00,,,,,0.00,0.31,0.00,0.00,,,,,,,,,,,
10,15.60,21.40,,,,,,,5.00,10.80,1.20,6.05,0.10,0.70,0.40,0.70,0.10,0.80,0.00,0.50,7.20,16.80,,,,,0.80,9.10,1.80,4.50,,,1.20,3.80,0.00,3.50,,,0.00,0.87,4.50,16.20,,,,,0.00,0.25,0.00,0.00,,,,,,,,,,,
11,17.20,20.80,,,,,,,5.20,11.60,1.60,6.90,0.10,0.60,0.00,0.70,0.00,0.60,0.00,0.50,7.90,17.00,,,,,0.80,9.50,2.30,5.10,,,0.50,3.80,0.10,2.50,,,0.00,1.10,4.70,16.60,,,,,0.00,0.43,0.00,0.14,,,,,,,,,,,
12,16.40,21.30,,,,,,,5.40,14.10,0.90,7.52,0.00,0.40,0.00,0.30,0.10,0.40,0.00,0.90,7.80,17.20,,,,,0.80,10.20,2.70,5.30,,,0.76,4.20,0.05,2.90,,,0.00,1.24,5.10,16.80,,,,,0.00,0.45,0.00,0.30,,,,,,,,,,,
13,16.80,23.00,,,,,,,5.10,14.60,1.12,7.71,0.00,0.20,0.00,0.20,0.00,0.30,0.00,0.58,7.60,17.50,,,,,0.60,10.10,2.40,5.00,,,1.00,3.70,0.00,1.90,,,0.00,0.83,4.90,16.50,,,,,0.00,0.40,0.00,0.25,,,,,,,,,,,
14,17.90,22.70,,,,,,,5.60,14.90,2.65,7.68,0.00,0.30,0.00,0.20,0.00,0.30,0.00,0.30,7.20,17.30,,,,,0.70,9.30,2.10,4.80,,,0.10,3.30,0.00,1.30,,,0.00,0.41,4.60,16.00,,,,,0.00,0.26,0.00,0.13,,,,,,,,,,,
15,16.00,22.00,,,,,,,5.50,14.80,3.02,7.92,0.00,2.40,0.00,0.20,0.00,0.20,0.00,0.00,7.00,17.00,,,,,0.50,8.30,1.80,4.30,,,0.00,2.20,0.00,0.40,,,0.00,0.16,4.20,15.80,,,,,0.00,0.11,0.00,0.06,,,,,,,,,,,
16,16.30,22.60,,,,,,,5.70,14.40,2.97,8.36,0.10,1.80,0.00,0.20,0.00,0.20,0.00,0.00,6.80,16.80,,,,,0.60,8.10,1.40,4.40,,,0.00,1.90,0.00,0.20,,,0.00,0.00,3.70,15.80,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
17,17.70,23.10,,,,,,,5.30,14.20,2.38,7.38,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,8.20,16.60,,,,,0.70,8.00,0.80,4.20,,,0.00,1.70,0.00,0.00,,,0.00,0.00,3.70,15.60,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
18,17.10,22.60,,,,,,,4.90,12.50,2.10,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,16.30,,,,,1.00,7.90,0.50,3.00,,,0.00,1.20,0.00,0.00,,,0.00,0.00,4.90,15.50,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
19,17.00,23.00,,,,,,,4.50,12.40,1.97,5.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,16.20,,,,,1.00,8.00,0.60,2.80,,,0.00,0.80,0.00,0.00,,,0.00,0.00,4.80,15.80,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
20,17.60,22.30,,,,,,,4.10,12.20,1.61,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,15.80,,,,,1.00,8.20,0.40,2.70,,,0.00,0.30,0.00,0.00,,,0.00,0.00,3.80,15.60,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
21,18.00,21.80,,,,,,,4.00,12.40,1.05,3.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,16.90,,,,,0.80,8.40,0.70,3.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,3.50,15.80,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
22,18.20,21.70,,,,,,,3.80,9.60,0.95,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,15.80,,,,,0.80,6.00,0.40,2.70,,,0.00,0.25,0.00,0.00,,,0.00,0.00,3.00,14.80,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
23,18.10,21.90,,,,,,,3.90,11.30,0.98,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,16.90,,,,,1.00,10.50,0.30,3.60,,,0.00,0.60,0.00,0.00,,,0.00,0.00,4.50,15.10,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
24,18.00,21.70,,,,,,,4.80,13.20,1.12,4.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,17.90,,,,,1.80,12.80,0.90,6.10,,,0.00,1.90,0.00,0.10,,,0.00,0.00,4.80,17.40,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,
25,18.00,21.50,,,,,,,5.10,13.80,1.50,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,7.90,17.90,,,,,2.10,13.70,2.30,6.30,,,0.00,2.90,0.00,1.60,,,0.00,0.20,6.70,17.70,,,,,0.00,0.05,0.00,0.00,,,,,,,,,,,
26,18.10,22.30,,,,,,,5.70,14.50,1.60,6.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,7.80,17.60,,,,,2.20,12.00,1.70,5.10,,,0.10,1.80,0.00,1.70,,,0.00,0.19,6.50,17.50,,,,,0.00,0.10,0.00,0.00,,,,,,,,,,,
27,18.00,23.50,,,,,,,5.90,14.90,1.85,7.35,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.20,7.80,17.80,,,,,2.20,10.50,1.10,5.00,,,0.30,2.00,0.00,1.00,,,0.00,0.34,5.40,17.20,,,,,0.00,0.20,0.00,0.03,,,,,,,,,,,
28,18.20,22.60,,,,,,,6.00,13.80,1.52,7.47,0.00,0.00,0.00,0.10,0.00,0.16,0.00,0.33,7.50,17.80,,,,,1.60,8.50,0.80,3.90,,,0.30,1.80,0.00,0.90,,,0.00,0.36,5.60,17.40,,,,,0.00,0.25,0.00,0.07,,,,,,,,,,,
29,18.90,22.60,,,,,,,5.40,12.60,1.45,7.28,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,8.00,17.50,,,,,1.00,7.40,0.70,4.80,,,0.20,1.70,0.00,0.50,,,0.00,0.31,5.00,16.80,,,,,0.00,0.15,0.00,0.05,,,,,,,,,,,
30,18.60,23.40,,,,,,,5.60,12.30,1.51,6.65,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,8.20,17.80,,,,,1.00,7.30,0.40,4.50,,,0.10,1.30,0.00,0.40,,,0.00,0.21,5.80,16.40,,,,,0.00,0.09,0.00,0.00,,,,,,,,,,,
31,19.00,23.20,,,,,,,5.30,11.30,1.76,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,17.80,,,,,1.00,9.40,0.50,3.60,,,0.10,2.00,0.00,0.40,,,0.00,0.16,4.90,16.60,,,,,0.00,0.08,0.00,0.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
MAX,15.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,1.80,14.90,0.10,8.36,0.00,2.40,0.00,0.80,0.00,1.00,0.00,1.20,6.00,17.90,0.00,0.00,0.00,0.00,0.00,13.70,0.00,6.30,0.00,0.00,0.00,4.20,0.00,4.20,0.00,0.00,0.00,1.24,1.20,17.70,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.30,,,,,,,,,,,

